text,category,urgency,triage_level
urgent! sudden slurred speech and weakness on one side of face please advise,neuro,critical,1
urgent! my 1 year old child is not breathing properly and blue lips,pediatric,critical,1
"we need help, cardiac arrest, patient not breathing, chest pain before collapse started suddenly",cardiac,critical,1
"we need help, broken bone suspected after a fall, unable to walk started suddenly",trauma_ortho,high,3
"fell from height, deformed arm and severe pain it is getting worse",trauma_ortho,critical,1
"please help, infant with slight rash and mild diarrhoea started suddenly",pediatric,moderate,4
"my relative has chest pain on exertion, 64 year old with palpitations please advise",cardiac,high,3
"anaphylaxis after food, swelling of face and throat please advise",general,critical,1
"please help, mild chest discomfort after walking, no sweating started suddenly",cardiac,moderate,4
"my relative has choking and gasping for air, oxygen level dropping",respiratory,critical,1
"urgent! severe difficulty breathing, unable to speak full sentences please advise",respiratory,critical,1
he collapsed with chest tightness and no pulse it is getting worse,cardiac,critical,1
"my relative has broken bone suspected after a fall, unable to walk started suddenly",trauma_ortho,high,3
"we need help, severe headache worst of life with confusion and vomiting please advise",neuro,critical,1
numbness on right side and slurred speech started 1 hours ago it is getting worse,neuro,high,3
"urgent! chest pain on exertion, 70 year old with palpitations started suddenly",cardiac,high,3
my relative has asthma attack not relieved by inhaler,respiratory,high,3
"we need help, slight breathlessness after climbing stairs it is getting worse",respiratory,moderate,4
"urgent! road accident, open fracture of leg with heavy bleeding it is getting worse",trauma_ortho,critical,1
"twisted ankle while walking, mild swelling",trauma_ortho,moderate,4
"urgent! anaphylaxis after food, swelling of face and throat please advise",general,critical,1
my relative has my 7 year old child has mild fever and cold it is getting worse,pediatric,moderate,4
urgent! dehydration with dizziness and weakness please advise,general,high,3
mild abdominal pain and bloating since yesterday please advise,surgery,moderate,4
"please help, road accident, open fracture of leg with heavy bleeding started suddenly",trauma_ortho,critical,1
my relative has he collapsed with chest tightness and no pulse,cardiac,critical,1
"please help, my 3 year old daughter has high fever and continuous vomiting started suddenly",pediatric,high,3
"please help, mild fever and body ache since yesterday started suddenly",general,moderate,4
"please help, recurring migraine with light sensitivity please advise",neuro,moderate,4
my relative has my father has severe chest pain and sweating he is 70 it is getting worse,cardiac,critical,1
"my relative has anaphylaxis after food, swelling of face and throat",general,critical,1
"we need help, food poisoning with diarrhoea, able to drink fluids it is getting worse",general,moderate,4
"we need help, my 2 year old child has mild fever and cold please advise",pediatric,moderate,4
"my relative has sprained wrist after a small fall, slight pain please advise",trauma_ortho,moderate,4
"please help, cardiac arrest, patient not breathing, chest pain before collapse it is getting worse",cardiac,critical,1
"urgent! anaphylaxis after food, swelling of face and throat it is getting worse",general,critical,1
"we need help, angina like chest pain, feels pressure in chest started suddenly",cardiac,high,3
"my relative has broken bone suspected after a fall, unable to walk",trauma_ortho,high,3
"we need help, dislocated shoulder from bike accident, severe pain started suddenly",trauma_ortho,high,3
my relative has baby is unresponsive after high fever and convulsion please advise,pediatric,critical,1
"my relative has seizure episode lasting 10 minutes, now drowsy",neuro,high,3
"my relative has angina like chest pain, feels pressure in chest started suddenly",cardiac,high,3
urgent! asthma attack not relieved by inhaler,respiratory,high,3
my relative has numbness on right side and slurred speech started 2 hours ago,neuro,high,3
"please help, angina like chest pain, feels pressure in chest started suddenly",cardiac,high,3
my 10 year old daughter has high fever and continuous vomiting started suddenly,pediatric,high,3
mild cough and cold for 3 days please advise,respiratory,moderate,4
"patient is unconscious after a seizure, 70 years old started suddenly",neuro,critical,1
urgent! vomiting blood and severe abdominal pain started suddenly,surgery,critical,1
"we need help, chest pain on exertion, 64 year old with palpitations",cardiac,high,3
"please help, mild cough and cold for 1 days started suddenly",respiratory,moderate,4
"occasional palpitations, feels fine otherwise please advise",cardiac,moderate,4
my relative has toddler with difficulty breathing and wheezing please advise,pediatric,high,3
"urgent! dislocated shoulder from bike accident, severe pain it is getting worse",trauma_ortho,high,3
"urgent! severe difficulty breathing, unable to speak full sentences please advise",respiratory,critical,1
"we need help, severe headache worst of life with confusion and vomiting",neuro,critical,1
urgent! mild abdominal pain and bloating since yesterday please advise,surgery,moderate,4
"we need help, patient is unconscious after a seizure, 70 years old it is getting worse",neuro,critical,1
"we need help, baby is unresponsive after high fever and convulsion started suddenly",pediatric,critical,1
"please help, my 3 year old daughter has high fever and continuous vomiting it is getting worse",pediatric,high,3
"we need help, fell from height, deformed arm and severe pain please advise",trauma_ortho,critical,1
he collapsed with chest tightness and no pulse started suddenly,cardiac,critical,1
"my relative has severe difficulty breathing, unable to speak full sentences",respiratory,critical,1
"please help, stroke suspected, facial droop and unable to move left arm it is getting worse",neuro,critical,1
my relative has mild fever and body ache since yesterday,general,moderate,4
"urgent! twisted ankle while walking, mild swelling please advise",trauma_ortho,moderate,4
"please help, severe difficulty breathing, unable to speak full sentences it is getting worse",respiratory,critical,1
my relative has irregular heartbeat and chest discomfort for 4 hours started suddenly,cardiac,high,3
"we need help, recurring migraine with light sensitivity it is getting worse",neuro,moderate,4
"we need help, asthma attack not relieved by inhaler it is getting worse",respiratory,high,3
"we need help, cardiac arrest, patient not breathing, chest pain before collapse please advise",cardiac,critical,1
"urgent! small laceration on forearm, bleeding controlled started suddenly",surgery,moderate,4
"we need help, stroke suspected, facial droop and unable to move left arm",neuro,critical,1
my relative has sudden slurred speech and weakness on one side of face it is getting worse,neuro,critical,1
urgent! high fever with severe dehydration and fainting it is getting worse,general,critical,1
urgent! shortness of breath and wheezing since morning,respiratory,high,3
my relative has dehydration with dizziness and weakness,general,high,3
vomiting blood and severe abdominal pain started suddenly,surgery,critical,1
my relative has high fever and persistent vomiting for 2 days please advise,general,high,3
"please help, food poisoning with diarrhoea, able to drink fluids please advise",general,moderate,4
"we need help, recurring migraine with light sensitivity it is getting worse",neuro,moderate,4
"we need help, chest pain on exertion, 64 year old with palpitations",cardiac,high,3
"we need help, my 5 year old daughter has high fever and continuous vomiting it is getting worse",pediatric,high,3
urgent! slight breathlessness after climbing stairs started suddenly,respiratory,moderate,4
my relative has mild fever and body ache since yesterday please advise,general,moderate,4
urgent! recurring migraine with light sensitivity started suddenly,neuro,moderate,4
my relative has dehydration with dizziness and weakness it is getting worse,general,high,3
"urgent! chest pain on exertion, 70 year old with palpitations please advise",cardiac,high,3
"twisted ankle while walking, mild swelling please advise",trauma_ortho,moderate,4
"urgent! anaphylaxis after food, swelling of face and throat started suddenly",general,critical,1
"please help, toddler with difficulty breathing and wheezing it is getting worse",pediatric,high,3
"please help, high fever and persistent vomiting for 1 days started suddenly",general,high,3
urgent! irregular heartbeat and chest discomfort for 3 hours,cardiac,high,3
"my relative has choking and gasping for air, oxygen level dropping",respiratory,critical,1
"we need help, irregular heartbeat and chest discomfort for 4 hours it is getting worse",cardiac,high,3
"urgent! stroke suspected, facial droop and unable to move left arm started suddenly",neuro,critical,1
"please help, burns on hand from boiling water, second degree it is getting worse",surgery,high,3
"my relative has sprained wrist after a small fall, slight pain",trauma_ortho,moderate,4
"urgent! cardiac arrest, patient not breathing, chest pain before collapse",cardiac,critical,1
mild abdominal pain and bloating since yesterday it is getting worse,surgery,moderate,4
"please help, my father has severe chest pain and sweating he is 52 please advise",cardiac,critical,1
"please help, appendicitis suspected, severe stomach pain on right side please advise",surgery,high,3
"we need help, baby is unresponsive after high fever and convulsion started suddenly",pediatric,critical,1
"my relative has choking and gasping for air, oxygen level dropping it is getting worse",respiratory,critical,1
"my relative has seizure episode lasting 20 minutes, now drowsy",neuro,high,3
urgent! my 1 year old child is not breathing properly and blue lips please advise,pediatric,critical,1
"please help, food poisoning with diarrhoea, able to drink fluids it is getting worse",general,moderate,4
